item_id,name,style,style_label,major_group,major_group_label,minor_group,minor_group_label,oiliness,freq_eat,freq_eat_label,price_norm,freq_sold
0,ebi,1,other,0,seafood,6,shrimp_crab,1.271,2.1384,high,1.8384,0.84
1,anago,1,other,0,seafood,3,tare,3.0736,1.9902,low,1.9925,0.88
2,maguro,1,other,0,seafood,1,akami,2.2304,2.3485,high,1.8747,0.88
3,ika,1,other,0,seafood,5,squid_octopus,1.3116,2.0432,high,1.5152,0.92
4,uni,1,other,0,seafood,8,other_seafood,3.187,1.6435,low,3.2873,0.88
5,tako,1,other,0,seafood,5,squid_octopus,0.9115,1.7173,low,1.3843,0.76
6,ikura,1,other,0,seafood,7,roe,2.7351,1.9795,low,2.6954,0.88
7,tamago,1,other,1,other,9,egg,1.6319,1.8662,low,1.0325,0.84
8,toro,1,other,0,seafood,1,akami,3.4481,2.0575,high,4.4855,0.8
9,amaebi,1,other,0,seafood,6,shrimp_crab,2.086,2.0683,high,1.925,0.76
10,hotategai,1,other,0,seafood,4,clam_shell,1.6546,1.7857,low,1.7722,0.76
11,tai,1,other,0,seafood,2,shiromi,1.0091,1.7007,low,2.2612,0.76
12,akagai,1,other,0,seafood,4,clam_shell,1.4832,1.3275,low,3.3324,0.72
13,hamachi,1,other,0,seafood,0,aomono,2.7415,1.8748,low,1.6731,0.64
14,awabi,1,other,0,seafood,4,clam_shell,1.473,1.089,low,3.6464,0.64
15,samon,1,other,0,seafood,1,akami,2.7289,2.0455,high,1.5118,0.64
16,kazunoko,1,other,0,seafood,7,roe,1.3182,1.1709,low,2.3768,0.6
17,shako,1,other,0,seafood,6,shrimp_crab,1.4281,0.9931,low,1.8566,0.6
18,saba,1,other,0,seafood,0,aomono,2.0837,1.3853,low,1.4829,0.56
19,chu_toro,1,other,0,seafood,1,akami,3.2048,2.0345,high,3.1676,0.56
20,hirame,1,other,0,seafood,2,shiromi,1.0064,1.6166,low,3.0692,0.56
21,aji,1,other,0,seafood,0,aomono,1.6762,1.6021,low,2.0813,0.56
22,kani,1,other,0,seafood,6,shrimp_crab,1.1763,1.4747,low,2.0379,0.52
23,kohada,1,other,0,seafood,0,aomono,1.2975,1.1482,low,1.0524,0.52
24,torigai,1,other,0,seafood,4,clam_shell,1.4649,1.1106,low,2.125,0.48
25,unagi,1,other,0,seafood,3,tare,3.4557,1.4262,low,2.2372,0.48
26,tekka_maki,0,maki,0,seafood,1,akami,1.7529,1.879,low,1.5798,0.44
27,kanpachi,1,other,0,seafood,0,aomono,2.4168,1.5729,low,2.4614,0.44
28,mirugai,1,other,0,seafood,4,clam_shell,1.6094,1.0,low,2.4792,0.4
29,kappa_maki,0,maki,1,other,11,vegetables,0.2695,1.4568,low,1.02,0.4
30,geso,1,other,0,seafood,5,squid_octopus,1.6681,1.1509,low,1.0182,0.4
31,katsuo,1,other,0,seafood,1,akami,2.0921,1.4847,low,1.4648,0.36
32,iwashi,1,other,0,seafood,0,aomono,1.8867,1.3457,low,1.3409,0.32
33,hokkigai,1,other,0,seafood,4,clam_shell,1.4303,1.0847,low,2.2936,0.32
34,shimaaji,1,other,0,seafood,0,aomono,1.7714,1.2446,low,2.6883,0.28
35,kanimiso,1,other,0,seafood,8,other_seafood,3.0899,1.0239,low,1.8333,0.32
36,engawa,1,other,0,seafood,2,shiromi,1.798,1.406,low,2.0087,0.28
37,negi_toro,1,other,0,seafood,1,akami,2.7444,2.0752,high,2.4729,0.28
38,nattou_maki,0,maki,1,other,11,vegetables,2.3477,1.3811,low,1.0,0.28
39,sayori,1,other,0,seafood,0,aomono,1.1987,1.0221,low,1.8194,0.24
40,takuwan_maki,0,maki,1,other,11,vegetables,0.6697,1.0115,low,1.0333,0.24
41,botanebi,1,other,0,seafood,6,shrimp_crab,2.0128,1.5662,low,3.0475,0.24
42,tobiko,1,other,0,seafood,7,roe,1.753,0.8717,low,1.4004,0.24
43,inari,1,other,1,other,11,vegetables,2.4162,1.6257,low,1.0,0.2
44,mentaiko,1,other,0,seafood,7,roe,2.1875,1.0238,low,1.4964,0.2
45,sarada,1,other,1,other,11,vegetables,1.5229,1.4618,low,1.2,0.2
46,suzuki,1,other,0,seafood,2,shiromi,1.3464,1.1201,low,3.1333,0.2
47,tarabagani,1,other,0,seafood,6,shrimp_crab,1.3197,1.2951,low,3.4152,0.2
48,ume_shiso_maki,0,maki,1,other,11,vegetables,0.6225,1.1297,low,1.04,0.2
49,komochi_konbu,1,other,0,seafood,7,roe,1.7557,0.7874,low,2.1667,0.2
50,tarako,1,other,0,seafood,7,roe,2.1211,0.9465,low,1.16,0.2
51,sazae,1,other,0,seafood,4,clam_shell,1.5896,0.8961,low,1.4467,0.2
52,aoyagi,1,other,0,seafood,4,clam_shell,1.5017,0.9199,low,1.7,0.16
53,toro_samon,1,other,0,seafood,1,akami,3.3085,1.7518,low,2.6231,0.16
54,sanma,1,other,0,seafood,0,aomono,2.1948,1.2338,low,1.5111,0.12
55,hamo,1,other,0,seafood,2,shiromi,1.4322,0.8342,low,1.5,0.12
56,nasu,1,other,1,other,11,vegetables,0.8178,0.6682,low,1.1667,0.12
57,shirauo,1,other,0,seafood,2,shiromi,0.9174,1.4679,low,1.3333,0.12
58,nattou,1,other,1,other,11,vegetables,2.4658,1.3379,low,1.2917,0.12
59,ankimo,1,other,0,seafood,8,other_seafood,3.2542,0.6186,low,1.75,0.12
60,kanpyo_maki,0,maki,1,other,11,vegetables,1.1781,1.2146,low,1.0,0.12
61,negi_toro_maki,0,maki,0,seafood,1,akami,2.7393,2.0,high,2.3621,0.12
62,gyusashi,1,other,1,other,10,meat_other,2.8545,0.8732,low,2.0364,0.12
63,hamaguri,1,other,0,seafood,4,clam_shell,1.707,0.9256,low,2.0,0.12
64,basashi,1,other,1,other,10,meat_other,2.5214,0.7479,low,2.3889,0.12
65,fugu,1,other,0,seafood,2,shiromi,0.871,0.7484,low,2.3333,0.08
66,tsubugai,1,other,0,seafood,4,clam_shell,1.5986,1.162,low,1.85,0.08
67,ana_kyu_maki,0,maki,0,seafood,3,tare,1.7754,0.9565,low,1.5833,0.08
68,hiragai,1,other,0,seafood,4,clam_shell,1.5037,0.9481,low,2.5,0.08
69,okura,1,other,1,other,11,vegetables,1.6258,0.6258,low,1.0,0.08
70,ume_maki,0,maki,1,other,11,vegetables,0.7021,1.227,low,1.0,0.08
71,sarada_maki,0,maki,1,other,11,vegetables,1.9085,1.4939,low,1.0,0.08
72,mentaiko_maki,0,maki,0,seafood,7,roe,2.1302,1.0178,low,1.25,0.08
73,buri,1,other,0,seafood,0,aomono,3.0376,1.6241,low,1.625,0.08
74,shiso_maki,0,maki,1,other,11,vegetables,0.503,1.0485,low,1.0,0.08
75,ika_nattou,1,other,0,seafood,5,squid_octopus,2.4189,1.0811,low,1.0909,0.08
76,zuke,1,other,0,seafood,1,akami,2.5139,1.375,low,2.125,0.08
77,himo,1,other,0,seafood,4,clam_shell,1.7405,0.7939,low,1.0,0.08
78,kaiware,1,other,1,other,11,vegetables,0.5867,0.7933,low,1.15,0.08
79,kurumaebi,1,other,0,seafood,6,shrimp_crab,1.5752,1.6863,low,3.2,0.08
80,mekabu,1,other,1,other,11,vegetables,0.9487,0.8077,low,1.0,0.04
81,kue,1,other,0,seafood,2,shiromi,2.0299,0.4328,low,3.0,0.04
82,sawara,1,other,0,seafood,2,shiromi,1.625,0.8977,low,2.6667,0.04
83,sasami,1,other,1,other,10,meat_other,1.2,0.66,low,1.0,0.04
84,kujira,1,other,1,other,10,meat_other,2.7424,0.5455,low,2.0,0.04
85,kamo,1,other,1,other,10,meat_other,2.7125,0.5625,low,1.5,0.04
86,himo_kyu_maki,0,maki,0,seafood,4,clam_shell,1.2885,0.5,low,1.5,0.04
87,tobiuo,1,other,0,seafood,0,aomono,1.5065,0.6883,low,1.5,0.04
88,ishigakidai,1,other,0,seafood,2,shiromi,1.3412,1.1059,low,2.0,0.04
89,mamakari,1,other,0,seafood,0,aomono,1.6548,0.5238,low,2.0,0.04
90,hoya,1,other,0,seafood,8,other_seafood,1.7568,0.6757,low,1.0,0.04
91,battera,1,other,0,seafood,0,aomono,2.325,1.1875,low,1.0,0.04
92,kyabia,1,other,0,seafood,7,roe,2.6711,0.4079,low,1.0,0.04
93,karasumi,1,other,0,seafood,7,roe,2.2933,0.4667,low,1.7273,0.04
94,uni_kurage,1,other,0,seafood,8,other_seafood,2.5556,0.5694,low,1.0,0.04
95,karei,1,other,0,seafood,2,shiromi,1.4,1.0947,low,1.0,0.04
96,hiramasa,1,other,0,seafood,0,aomono,2.0294,1.0,low,1.0,0.04
97,namako,1,other,0,seafood,8,other_seafood,2.0633,0.443,low,1.5,0.04
98,shishamo,1,other,0,seafood,0,aomono,1.84,0.6133,low,1.0,0.04
99,kaki,1,other,0,seafood,4,clam_shell,2.2208,0.7273,low,1.25,0.04
